30,Armadilha,2024,ND,ND,ND,"Um pai e sua filha adolescente assistem a um concerto pop, onde percebem que estão no centro de um evento sinistro."
27,Todos Menos Você,2023,1 h 43 min,16,"6,2","Bea e Ben parecem o casal perfeito, mas depois de um incrível primeiro encontro, algo aconteceu que esfriou a atração dos dois. Até que eles são colocados inesperadamente juntos em um casamento na Austrália."
31,Planeta dos Macacos: O Reinado,2024,2 h 25 min,PG-13,ND,"Muitos anos após o reinado de César, um jovem macaco embarca em uma jornada que o levará a questionar tudo o que lhe foi ensinado sobre o passado e a fazer escolhas que definirão o futuro de macacos e humanos."
34,Magnatas do Crime,2019,1 h 53 min,16,"7,8",Um traficante de drogas britânico tenta vender seu império para uma dinastia multimilionária em Oklahoma.
33,Zona de Interesse,2023,1 h 45 min,14,"7,5","O comandante de Auschwitz, Rudolf Höss, e sua esposa Hedwig, se esforçam para construir a vida dos sonhos para sua família em uma casa com jardim ao lado do campo."
32,Agente X: A Última Missão,2023,1 h 50 min,16,"5,1",Um ex-agente da CIA é reativado quando um extorsionário tem a agência como alvo.
35,Damaged,2024,1 h 37 min,R,"4,5","Dan Lawson, um detetive de Chicago, viaja para a Escócia para se juntar ao detetive escocês Boyd, acompanhando o ressurgimento de um serial killer cujos crimes coincidem com um caso não solucionado que ele investigou cinco anos antes."
39,Beekeeper: Rede de Vingança,2024,1 h 45 min,18,"6,4","A tentativa brutal de vingança de um homem gera riscos para toda a nação depois que ele é revelado como sendo ex-agente de uma organização poderosa e clandestina conhecida como ""Beekeepers""."
36,A Teia,2024,1 h 50 min,16,"6,0","Um ex-detetive de homicídios passa por um tratamento revolucionário para Alzheimer quando é chamado para reexaminar um brutal caso de seu passado. À medida que novos elementos surgem, uma complexa teia de mentiras se revela."
38,Love Lies Bleeding - O Amor Sangra,2024,1 h 44 min,16,"7,3","A solitária gerente de academia Lou se apaixona pela ambiciosa fisiculturista Jackie, que está de passagem em direção a Las Vegas, em busca do seu sonho. Mas essa história de amor fulminante as envolve na rede criminosa da família de Lou."
40,O Fabricante de Lágrimas,2024,1 h 43 min,14,"5,2",Nica cresceu em um orfanato e os contos de fada eram seu único conforto em meio aos terrores reais que assombravam os corredores da instituição.
41,Amigos Imaginários,2024,ND,ND,ND,"Uma garota descobre que consegue ver os amigos imaginários de todas as pessoas, mesmo aqueles esquecidos por crianças que já cresceram. Com esse novo superpoder, ela embarca em uma aventura para reconectá-los."
37,O Talentoso Ripley,1999,2 h 19 min,14,"7,4","No final dos anos 1950, em Nova York, Tom Ripley, um jovem fracassado, é enviado à Itália para resgatar Dickie Greenleaf, um playboy milionário rico e mimado. Mas quando a missão falha, Ripley toma medidas extremas."
43,Assassino Por Acaso,2023,1 h 55 min,R,"7,7",Gary Johnson trabalha para a polícia e finge ser um assassino de aluguel para prender aqueles que o contratam. Um dia ele quebra o protocolo para salvar uma mulher desesperada que tenta fugir de um namorado abusivo.
42,Anatomia de uma Queda,2023,2 h 31 min,14,"7,7","Uma mulher é suspeita de ter assassinado o marido, e o seu filho cego enfrenta um dilema moral como única testemunha."
46,Arcadian,2024,1 h 32 min,R,"6,3",Um pai e seus filhos gêmeos adolescentes lutam para sobreviver em uma casa de fazenda remota no fim do mundo.
48,Matador de Aluguel,1989,1 h 54 min,14,"6,7",Um segurança durão é contratado para domar um bar barra pesada.
44,X: A Marca da Morte,2022,1 h 45 min,18,"6,5","Em 1979, um grupo de jovens cineastas se propôs a fazer um filme adulto na zona rural do Texas, mas quando seus solitários e idosos anfitriões os pegam em flagrante, o elenco se vê lutando por suas vidas."
45,Vidro,2019,2 h 9 min,14,"6,6",O o guarda de segurança David Dunn usa suas habilidades sobrenaturais para rastrear a um homem perturbado que tem vinte e quatro personalidades.
49,Grandes Hits,2024,1 h 34 min,PG-13,"6,2","Uma história de amor centrada na conexão entre música e memória e em como elas nos transportam, às vezes literalmente."
47,Donzela,2024,1 h 50 min,12,"6,1","A princesa Elodie, que acredita que vai se casar com o príncipe Henry, descobre que está sendo sacrificada a um dragão."
52,Interestelar,2014,2 h 49 min,10,"8,7","Uma equipe de exploradores viaja através de um buraco de minhoca no espaço, na tentativa de garantir a sobrevivência da humanidade."
51,Maidaan,2024,3 h 1 min,ND,"8,8","Inspirado pelo treinador e gerente da seleção nacional de futebol da Índia, Syed Abdul Rahim, considerado o arquiteto do futebol indiano."
53,O Que Jennifer Fez?,2024,1 h 27 min,12,"6,0","Quando Jennifer Pan liga para a polícia para comunicar um atentado contra seus pais, ela acaba se tornando o foco deste fascinante caso criminal."
50,Sasquatch Sunset,2024,1 h 29 min,R,"6,1",Um ano na vida de uma família peculiar. A história captura a vida cotidiana do Pé-Grande com um nível de detalhe e precisão que é simplesmente inesquecível.
54,Wicked Little Letters,2023,1 h 40 min,R,"7,0","Quando as pessoas em Littlehampton começam a receber cartas escandalosas e obscenas, a suspeita recai imediatamente sobre a ardente Rose, que pode perder a guarda da filha. Um grupo de mulheres se propõe a solucionar o mistério."
56,Deadpool & Wolverine,2024,ND,ND,ND,"Wolverine is recovering from his injuries when he crosses paths with the loudmouth, Deadpool. They team up to defeat a common enemy."
57,Pica-Pau: As Férias no Acampamento,2024,1 h 40 min,Livre,"4,6","Após ser expulso da floresta, o Pica-Pau acha que encontrou seu novo lar no Acampamento Woo Hoo. Até que um inspetor ameaça fechar tudo!"
59,Bob Marley: One Love,2024,1 h 47 min,16,"6,3",Um olhar sobre a vida do lendário músico de reggae Bob Marley.
55,Furiosa: Uma Saga Mad Max,2024,ND,ND,ND,"Após ser sequestrada do Green Place das Muitas Mães, enquanto os tiranos Dementus e Immortan Joe lutam por poder e controle, a jovem Furiosa terá que sobreviver a muitos desafios para encontrar e trilhar o caminho de volta para casa."
58,Anna: O Perigo Tem Nome,2019,1 h 58 min,16,"6,6","Trás a beleza da Anna Poliatova, ha um secreto que desencadeara sua incrível forçã que a voltara numa das assassinas mais temidas no mundo."
61,Duna,1984,2 h 17 min,14,"6,3",O filho de um duque lidera guerreiros do deserto contra o imperador galáctico e o malvado inimigo de seu pai para libertar seu mundo desértico.
